Round,ADP,Player,,,,,,,,N,,,Players + Rookies (372),Rank
15.03,170.8,Sam Howell,Sam,Howell,WAS,QB,,,,173,,,Sam Howell WAS QB,QB35
15.03,171.4,Jimmy Garoppolo,Jimmy,Garoppolo,SF,QB,,,,174,,,Jimmy Garoppolo SF QB,QB36
15.04,172.0,Laviska Shenault,Laviska,Shenault,JAX,WR,,,,175,,,Laviska Shenault JAX WR,WR66
15.04,172.2,Kenny Golladay,Kenny,Golladay,NYG,WR,,,,176,,,Kenny Golladay NYG WR,WR67
15.06,173.6,Khalil Shakir,Khalil,Shakir,BUF,WR,,,,177,,,Khalil Shakir BUF WR,WR68
15.06,174.2,Mitchell Trubisky,Mitchell,Trubisky,PIT,QB,,,,178,,,Mitchell Trubisky PIT QB,QB37
15.09,176.8,Keaontay Ingram,Keaontay,Ingram,ARI,RB,,,,179,,,Keaontay Ingram ARI RB,RB54
15.11,179.0,Nico Collins,Nico,Collins,HOU,WR,,,,180,,,Nico Collins HOU WR,WR69
15.11,179.3,Odell Beckham,Odell,Beckham,WR,,,,,181,,,Odell Beckham  WR,WR70
15.12,179.6,Brevin Jordan,Brevin,Jordan,HOU,TE,,,,182,,,Brevin Jordan HOU TE,TE21
16.02,181.7,Donovan Peoples-Jones,Donovan,Peoples-Jones,CLE,WR,,,,183,,,Donovan Peoples-Jones CLE WR,WR71
16.02,181.9,Kyren Williams,Kyren,Williams,LAR,RB,,,,184,,,Kyren Williams LAR RB,RB55
16.04,183.7,,,,,,,,,185,,,K.J. Osborn MIN WR,WR72
16.04,183.8,,,,,,,,,186,,,Drew Lock SEA QB,QB38
16.04,184.2,,,,,,,,,187,,,Tyler Higbee LAR TE,TE22
16.05,185.3,,,,,,,,,188,,,Evan Engram JAX TE,TE23
16.05,185.4,,,,,,,,,189,,,Mecole Hardman KC WR,WR73
16.06,185.9,,,,,,,,,190,,,Joshua Palmer LAC WR,WR74
16.07,186.9,,,,,,,,,191,,,Hassan Haskins TEN RB,RB56
16.08,187.6,,,,,,,,,192,,,Tyquan Thornton NE WR,WR75
16.09,189.0,,,,,,,,,193,,,Nyheim Hines IND RB,RB57
16.11,191.1,,,,,,,,,194,,,Van Jefferson LAR WR,WR76
16.12,192.1,,,,,,,,,195,,,Rob Gronkowski TB TE,TE24
